c.country,c.neutral_response
NULL,13508
,43
AFGHANISTAN,10
ARGENTINA,278
ARMENIA,4
AUSTRALIA,78
AUSTRIA,4
BANGLADESH,2
BELARUS,4
BELGIUM,33
BOLIVIA,54
BOSNIA AND HERZEGOWINA,2
BRAZIL,828
BULGARIA,2
CANADA,2063
CAPE VERDE,1
CHILE,470
CHINA,212
COLOMBIA,149
CROATIA,2
CZECH REPUBLIC,5
DENMARK,5
ECUADOR,3074
EGYPT,21
ESTONIA,1
FINLAND,6
FRANCE,213
GERMANY,108
GREECE,304
GREENLAND,320
GUAM,6
GUYANA,5
HONG KONG,62
HUNGARY,6
INDIA,68
INDONESIA,696
IRAN (ISLAMIC REPUBLIC OF),9
IRAQ,58
IRELAND,33
ISRAEL,4
ITALY,59
JAPAN,68
KAZAKHSTAN,2
KENYA,11
KOREA (S),21
KUWAIT,34
LATVIA,5
LIBERIA,1
LITHUANIA,5
MALAYSIA,134
MEXICO,594
MONGOLIA,3
MOROCCO,139
NETHERLANDS,439
NEW ZEALAND,25
NIGERIA,27
OMAN,6
PAKISTAN,14
PERU,43
POLAND,3
PORTUGAL,14
ROMANIA,2
RUSSIAN FEDERATION,61
SAUDI ARABIA,21
SINGAPORE,105
SLOVAKIA,2
SOLOMON ISLANDS,1
SOUTH AFRICA,16
SPAIN,229
SRI LANKA,4
SWEDEN,11
TAIWAN,8
THAILAND,924
TONGA,5
TURKEY,50
UKRAINE,18
UNITED ARAB EMIRATES,114
UNITED KINGDOM,438
UNITED STATES,25542
UZBEKISTAN,1
VENEZUELA,606
VIET NAM,5
ZIMBABWE,4
